CUSTOM_ID;NAME;ALIAS;DESCRIPTION;LOCATION_ADDRESS;MUNICIPALITY;LATITUDE;LONGITUDE;SUBESTACION
1,26E+14;PRA;PRADERA 34.5 KV;S/E PRADERA 34.5 KV;PRADERA;PRADERA, VAC;3,42655;-76,246932;PRADERA 
1,26E+14;SAL;SALVAJINA 220 KV;S/E SALVAJINA 220 KV;SUAREZ- CAUCA;SUAREZ, CAU;2,942893;-76,7045;SALVAJINA 
1,26E+14;CHA;HIDRO AMAIME 34.5 KV;S/E HIDRO AMAIME 34.5 KV;LOS CEIBOS;PALMIRA, VAC;3,615263;-76,178728;HIDRO AMAIME 
1,26E+14;YU2;YUMBO 220 KV;S/E YUMBO 220 KV;VALLE-YUMBO;YUMBO, VAC;3,558695;-76,501018;YUMBO 
1,26E+14;MAL;MALAGA 115 KV;S/E MALAGA 115 KV;VALLE-BUENAVENTURA;BUENAVENTURA, VAC;3,974961;-77,324996;MALAGA 
1,26E+14;DOL;LA DOLORES 34.5 KV;S/E LA DOLORES 34.5 KV;PALMIRA;PALMIRA, VAC;3,496182;-76,473455;LA DOLORES 
1,26E+14;CHP;CHIPICHAPE 115 KV;S/E CHIPICHAPE 115 KV;VALLE-SANTIAGO DE CALI;SANTIAGO DE CALI, VAC;3,471161;-76,531617;CHIPICHAPE 
1,26E+14;MLD;MIROLINDO 115 KV;S/E MIROLINDO 115 KV;DPTO TOLIMA-MPIUO DE IBAGUE;IBAGUE, TOL;4,403827;-75,173419;MIROLINDO 
1,26E+14;SLU;SAN LUIS 115 KV;S/E SAN LUIS 115 KV;VALLE-SANTIAGO DE CALI;SANTIAGO DE CALI, VAC;3,485142;-76,4871;SAN LUIS 
1,26E+14;ORT;EL ORTIGAL 34.5 KV;S/E EL ORTIGAL 34.5 KV;CANDELARIA;CANDELARIA, VAC;3,282999;-76,343248;EL ORTIGAL 
1,26E+14;LOB;LOBOGUERRERO 34.5 KV;S/E LOBOGUERRERO 34.5 KV;186 KM 60 CTRA DAGUA A LOBOGUERRERO;DAGUA, VAC;3,755694;-76,662096;LOBOGUERRERO 
1,26E+14;RZO;ROZO 34.5 KV;S/E ROZO 34.5 KV;ROZO;PALMIRA, VAC;3,619976;-76,435007;ROZO 
1,26E+14;STD;SANTANDER 115 KV;S/E SANTANDER 115 KV;CAUCA-SANTANDER;JAMUNDI, VAC;2,996869;-76,492594;SANTANDER 
1,26E+14;LPA;LA PAILA 34.5 KV;S/E LA PAILA 34.5 KV;CGTO LA PAILA MPIO ZARZAL;ZARZAL, VAC;4,315191;-76,0757;LA PAILA 
1,26E+14;BJO;BAJO ANCHICAYA 115 KV;S/E BAJO ANCHICAYA 115 KV;VALLE-BUENAVENTURA;BUENAVENTURA, VAC;3,606021;-76,923508;BAJO ANCHICAYA 
1,26E+14;BTU;CH BAJO TULUA 34.5 KV;S/E CH BAJO TULUA 34.5 KV;VALLE SAN PEDRO - CGTO LA ESMERALDA;SAN PEDRO, VAC;3,967999;-76,123752;CH BAJO TULUA 
1,26E+14;CAI;CAICEDONIA 34.5 KV;S/E CAICEDONIA 34.5 KV;CAICEDONIA;CAICEDONIA, VAC;4,341322;-75,833907;CAICEDONIA 
1,26E+14;SID;SAN ISIDRO 34.5 KV;S/E SAN ISIDRO 34.5 KV;MPIO DE JAMUNDI-CGTO DE SAN ISIDRO;JAMUNDI, VAC;3,238826;-76,517078;SAN ISIDRO 
1,26E+14;GBN;GUABINAS 34.5 KV;S/E GUABINAS 34.5 KV;VALLE-YUMBO GUABINAS;YUMBO, VAC;3,558577;-76,502213;GUABINAS 
1,26E+14;TUN;TUNAL 34.5 KV;S/E TUNAL 34.5 KV;CANDELARIA;CANDELARIA, VAC;3,408839;-76,412405;TUNAL 
1,26E+14;VIJ;VIJES 34.5 KV;S/E VIJES 34.5 KV;84 CJON CEMENTERIO VIJES;VIJES, VAC;3,696114;-76,434832;VIJES 
1,26E+14;PCA;PAPEL CAUCA 115 KV;S/E PAPEL CAUCA 115 KV;CAUCA-PUERTO TEJADA;PUERTO TEJADA, CAU;3,301847;-76,471487;PAPEL CAUCA 
