name,lat,lon,pop
Cali,3.4516,-76.532,2394870
Palmira,3.5394,-76.3031,356259
Buenaventura,3.8935,-77.0709,313508
Tuluá,4.0847,-76.1954,220032
Jamundí,3.262,-76.5449,168079
Cartago,4.7464,-75.9112,132966
Buga,3.9009,-76.2975,129639
Yumbo,3.5852,-76.4959,110683
Candelaria,3.4081,-76.352,94736
Florida,3.3277,-76.2384,58273
Ibagué,4.4389,-75.2322,562704
El Espinal,4.1524,-74.8848,76149
Chaparral,3.7236,-75.4841,47248
Líbano,5.001,-75.062,45662
Melgar,4.2043,-74.6431,36339
Mariquita,5.2036,-74.8925,33329
Ortega,3.9447,-75.2203,32431
Guamo,4.0308,-74.9742,32113
Fresno,5.152,-75.0363,30165
Planadas,3.1972,-75.645,29974
